Year,FAMILY INTERVIEW (ID) NUMBER,AMOUNT CREDIT/STORE CARD DEBT,AMT INVESTED IN STOCKS ,TOTAL FAMILY INCOM, COMPLETED ED
2017,5884,0,0,170000,17
2017,6411,10000,0,193400,12
2017,NA,NA,NA,NA,NA
2017,5290,0,0,71950,12
2017,9018,50000,0,73000,12
2017,5557,1000,0,49100,10
2017,4282,100,0,22994,10
2017,4452,2000,0,78104,11
2017,4300,140,0,23719,11
2017,7199,2000,0,106572,12
2017,6979,0,0,27600,11
2017,4352,0,0,10847,10
2017,7142,300,0,100200,9
2017,7513,0,0,56000,11
2017,7058,8000,0,65000,10
2017,7986,0,0,47800,11
2017,4413,0,0,16500,12
2017,7038,0,0,20016,10
2017,4406,0,0,82500,16
2017,NA,NA,NA,NA,NA
2017,4717,1500,0,65400,14
2017,4632,0,0,29920,13
2017,NA,NA,NA,NA,NA
2017,4417,0,0,30944,14
2017,7626,1000,0,115000,13
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,4675,0,0,13260,11
2017,6553,0,0,0,12
2017,9312,0,0,11047,10
2017,NA,NA,NA,NA,NA
2017,6266,0,0,7674,10
2017,7132,0,0,11000,12
2017,4917,0,0,40490,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,2661,0,0,77400,17
2017,3493,5200,0,70004,17
2017,2874,0,0,97008,17
2017,2995,1000,0,30500,14
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,2757,120,0,47640,12
2017,3156,0,0,181003,13
2017,NA,NA,NA,NA,NA
2017,2089,0,0,70000,17
2017,1440,0,0,154265,17
2017,1941,5000,0,102000,17
2017,NA,NA,NA,NA,NA
2017,1576,5000,0,117500,15
2017,1407,10000,0,275200,16
2017,1931,0,0,145240,17
2017,1547,7700,0,86600,16
2017,3783,0,0,18960,14
2017,7213,0,0,137000,14
2017,8752,0,0,12000,13
2017,2554,0,0,18000,12
2017,3647,0,0,72325,13
2017,4782,0,0,100000,17
2017,5477,10000,0,11200,16
2017,113,0,0,8000,17
2017,5642,50000,0,66500,12
2017,3971,0,0,53410,12
2017,7292,20000,0,50001,14
2017,4028,0,0,101100,13
2017,8411,0,0,529000,16
2017,NA,NA,NA,NA,NA
2017,7780,0,0,113500,12
2017,8362,0,0,97000,12
2017,4605,0,0,37632,14
2017,7263,0,0,34000,12
2017,NA,NA,NA,NA,NA
2017,4120,0,0,150010,13
2017,8037,20000,0,145000,16
2017,5148,0,0,162002,16
2017,3926,0,0,89816,17
2017,9298,0,0,153400,15
2017,NA,NA,NA,NA,NA
2017,6822,0,0,36986,12
2017,8488,0,0,23000,12
2017,3864,4350,0,48922,16
2017,7499,0,0,25000,12
2017,4927,9000,0,135020,17
2017,4016,0,0,105000,12
2017,5696,5000,0,118506,17
2017,3976,22000,0,118010,12
2017,8136,400,0,65000,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,520,600,0,65000,14
2017,523,0,0,133000,12
2017,NA,NA,NA,NA,NA
2017,6225,6000,0,166180,17
2017,3944,30000,0,152930,16
2017,4367,9000,0,122000,12
2017,NA,NA,NA,NA,NA
2017,339,0,0,30800,16
2017,2066,14000,0,40000,12
2017,1647,0,0,40000,12
2017,2338,0,0,1400,16
2017,1540,0,0,33324,12
2017,5695,0,0,18766,16
2017,NA,NA,NA,NA,NA
2017,2238,0,0,30960,12
2017,1039,0,0,17496,12
2017,1134,0,0,8400,9
2017,5837,0,0,22000,12
2017,4044,0,0,38447,12
2017,5663,0,0,127400,13
2017,NA,NA,NA,NA,NA
2017,7687,0,0,45200,13
2017,7661,0,0,24047,12
2017,NA,NA,NA,NA,NA
2017,5651,0,0,79407,12
2017,9058,0,0,39520,14
2017,6054,0,0,73000,11
2017,6739,1200,0,48200,13
2017,7795,4000,0,45000,12
2017,4772,0,0,69086,14
2017,NA,NA,NA,NA,NA
2017,5303,1500,0,24500,13
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,4640,0,0,57775,17
2017,8785,10000,0,116020,14
2017,4901,0,0,89000,14
2017,NA,NA,NA,NA,NA
2017,4287,0,0,76000,12
2017,4069,0,0,54800,17
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,7307,0,0,92100,17
2017,9176,0,0,64734,15
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,9437,300,0,119050,16
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,438,0,0,30940,12
2017,NA,NA,NA,NA,NA
